zone_name,time_15min,people_count,temperature,humidity,rain,wind_speed,date,hour,minute,day_of_week,is_weekend,is_public_holiday,holiday_name,before_holiday,after_holiday,above_2000,is_event_day,event_name,day_category,lag_1,lag_4,lag_96,lag_672,rolling_mean_1h,rolling_mean_4h,rolling_std_1h,is_sunday,hour_weekend,hour_holiday,hour_sin,hour_cos,rain_weekend,temp_weekend,is_school_holiday,day_name
New Rathaus West (also Maxplatz),2023-09-12 10:30:00,4,25.5,62,0.0,3.5,2023-09-12,10,30,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,14.0,3.0,1.0,1.0,14.0,0.0,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 10:45:00,6,25.5,62,0.0,3.5,2023-09-12,10,45,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,4.0,4.0,2.0,4.0,4.0,4.0,0.0,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 11:00:00,5,26.7,57,0.0,3.7,2023-09-12,11,0,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,6.0,5.0,3.0,2.0,6.0,5.0,0.0,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 11:15:00,4,26.7,57,0.0,3.7,2023-09-12,11,15,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,5.0,1.0,5.0,3.0,4.75,1.0,0.9574271077563381,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 12:30:00,2,28.5,46,0.0,2.5,2023-09-12,12,30,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,4.0,4.0,5.0,92.0,4.25,4.0,1.707825127659933,0,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 12:45:00,9,28.5,46,0.0,2.5,2023-09-12,12,45,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,2.0,6.0,1.0,16.0,5.0,6.0,2.943920288775949,0,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 13:00:00,3,29.0,43,0.0,1.3,2023-09-12,13,0,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,9.0,5.0,1.0,16.0,4.5,5.0,3.1091263510296048,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-12 13:15:00,4,29.0,43,0.0,1.3,2023-09-12,13,15,1,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,3.0,4.0,2.0,6.0,4.5,4.0,3.1091263510296048,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,0.0,0,Tue
New Rathaus West (also Maxplatz),2023-09-13 11:00:00,4,21.6,68,0.1,13.1,2023-09-13,11,0,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,4.0,2.0,3.0,6.0,5.0,2.0,2.70801280154532,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 11:15:00,8,21.6,68,0.1,13.1,2023-09-13,11,15,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,4.0,9.0,5.0,5.0,4.75,9.0,2.217355782608345,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 11:30:00,4,21.6,68,0.1,13.1,2023-09-13,11,30,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,8.0,3.0,4.0,15.0,5.0,3.0,2.0,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 11:45:00,2,21.6,68,0.1,13.1,2023-09-13,11,45,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,4.0,4.0,6.0,14.0,4.5,4.0,2.516611478423583,0,0,0,0.258819045102521,-0.9659258262890682,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 12:00:00,6,21.5,70,0.1,9.9,2023-09-13,12,0,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,2.0,4.0,2.0,22.0,5.0,4.0,2.581988897471611,0,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 12:15:00,8,21.5,70,0.1,9.9,2023-09-13,12,15,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,6.0,8.0,12.0,7.0,5.0,8.0,2.581988897471611,0,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0,Wed
New Rathaus West (also Maxplatz),2023-09-13 12:30:00,5,21.5,70,0.1,9.9,2023-09-13,12,30,2,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,8.0,4.0,16.0,4.0,5.25,4.0,2.5,0,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0,Wed
